1597806000000000,OZONE,32,PPB,34,30,1
1597784400000000,PM10,23,UG/M3,29,21,1
1597741200000000,OZONE,28,PPB,28,26,1
1598526000000000,PM10,39,UG/M3,34,36,1
1598554800000000,OZONE,26,PPB,20,24,1
1598598000000000,OZONE,30,PPB,35,28,1
1597993200000000,PM10,37,UG/M3,41,34,1
1597971600000000,PM2.5,7.9,UG/M3,7.6,33,1
1597928400000000,PM2.5,7.8,UG/M3,8.7,33,1
1598713200000000,PM2.5,10.2,UG/M3,9.3,43,1
1598742000000000,PM2.5,10.8,UG/M3,11.5,45,1
1598756400000000,PM2.5,11.6,UG/M3,11.8,48,1
1597647600000000,OZONE,34,PPB,32,31,1
1597626000000000,OZONE,21,PPB,27,19,1
1597582800000000,PM10,23,UG/M3,23,21,1
1597122000000000,OZONE,43,PPB,48,40,1
1597100400000000,OZONE,23,PPB,23,21,1
1597071600000000,OZONE,32,PPB,31,30,1
1598670000000000,PM2.5,11,UG/M3,9.9,46,1
1598641200000000,PM2.5,9.8,UG/M3,10.3,41,1
1598612400000000,PM2.5,7.1,UG/M3,7.9,30,1
1597654800000000,PM10,38,UG/M3,38,35,1
1597698000000000,OZONE,26,PPB,22,24,1
1597683600000000,OZONE,20,PPB,21,19,1
1598000400000000,PM10,38,UG/M3,39,35,1
1598043600000000,PM2.5,8.5,UG/M3,9.8,35,1
1598072400000000,PM2.5,9.4,UG/M3,9,39,1
1597842000000000,PM10,24,UG/M3,19,22,1
1597885200000000,OZONE,29,PPB,39,27,1
1597892400000000,OZONE,37,PPB,40,34,1
1598461200000000,PM2.5,18,UG/M3,17.6,63,2
1598482800000000,PM2.5,17.8,UG/M3,18,63,2
1598454000000000,PM2.5,18,UG/M3,19.2,63,2
1599692400000000,OZONE,11,PPB,11,10,1
1599663600000000,OZONE,11,PPB,12,10,1
1599714000000000,OZONE,10,PPB,10,9,1
1599505200000000,PM2.5,8.4,UG/M3,8.5,35,1
1599476400000000,PM2.5,8.6,UG/M3,8.3,36,1
1599534000000000,PM2.5,10.4,UG/M3,10.3,43,1
1598994000000000,PM2.5,6.5,UG/M3,6.7,27,1
1598950800000000,OZONE,31,PPB,33,29,1
1599015600000000,OZONE,33,PPB,38,31,1
1599447600000000,PM2.5,8.5,UG/M3,8,35,1
1599404400000000,PM2.5,9.9,UG/M3,9.1,41,1
1599433200000000,PM2.5,8.6,UG/M3,8.8,36,1
1599634800000000,OZONE,13,PPB,14,12,1
1599562800000000,PM2.5,10,UG/M3,9.3,42,1
1599591600000000,OZONE,19,PPB,15,18,1
1600174800000000,PM2.5,8.2,UG/M3,8.7,34,1
1600218000000000,OZONE,31,PPB,38,29,1
1600225200000000,OZONE,38,PPB,44,35,1
1599966000000000,PM2.5,7.1,UG/M3,7.1,30,1
1599937200000000,PM2.5,5.4,UG/M3,4.9,23,1
1599908400000000,PM2.5,6.1,UG/M3,6.3,25,1
1601002800000000,OZONE,33,PPB,35,31,1
1600974000000000,PM2.5,11.9,UG/M3,9.8,50,1
1600945200000000,PM2.5,16.1,UG/M3,16.4,59,2
1600866000000000,PM2.5,11.3,UG/M3,9.5,47,1
1600909200000000,PM2.5,7.6,UG/M3,7.1,32,1
1600916400000000,PM2.5,7.5,UG/M3,7.5,31,1
1600830000000000,PM2.5,10.3,UG/M3,10.9,43,1
1600808400000000,PM2.5,14.4,UG/M3,16.3,56,2
1600765200000000,PM2.5,15.6,UG/M3,15.5,58,2
1600009200000000,PM2.5,13,UG/M3,13.6,53,2
1600038000000000,PM2.5,8.2,UG/M3,7.9,34,1
1600052400000000,OZONE,36,PPB,38,33,1
1600138800000000,OZONE,37,PPB,44,34,1
1600117200000000,PM10,43,UG/M3,71,40,1
1600074000000000,PM2.5,8.3,UG/M3,10.5,35,1
1598209200000000,PM2.5,13.4,UG/M3,12.3,54,2
1598180400000000,PM2.5,19.1,UG/M3,21.8,66,2
1598238000000000,PM2.5,11.2,UG/M3,11,47,1
1598324400000000,PM2.5,14.7,UG/M3,14,56,2
1598274000000000,PM2.5,15.1,UG/M3,15.9,57,2
1598317200000000,PM2.5,15,UG/M3,14.4,57,2
1597518000000000,PM10,26,UG/M3,28,24,1
1597489200000000,PM10,31,UG/M3,31,29,1
1597546800000000,OZONE,30,PPB,34,28,1
1597460400000000,OZONE,36,PPB,38,33,1
1597417200000000,PM10,16,UG/M3,15,15,1
1597446000000000,OZONE,20,PPB,27,19,1
1598389200000000,PM2.5,20.2,UG/M3,21.9,68,2
1598346000000000,PM2.5,15.5,UG/M3,18.4,58,2
1598410800000000,PM2.5,15.3,UG/M3,14,58,2
1598151600000000,PM2.5,11.8,UG/M3,11.1,49,1
1598108400000000,PM2.5,14.1,UG/M3,13.7,55,2
1598137200000000,PM2.5,15,UG/M3,13.1,57,2
1599130800000000,PM2.5,9.6,UG/M3,11.1,40,1
1599159600000000,PM2.5,8.1,UG/M3,7.8,34,1
1599202800000000,OZONE,39,PPB,42,36,1
1599289200000000,PM10,45,UG/M3,50,42,1
1599267600000000,PM2.5,10.6,UG/M3,4.9,44,1
1599224400000000,PM2.5,6.3,UG/M3,6.7,26,1
1599296400000000,PM10,42,UG/M3,38,39,1
1599339600000000,PM2.5,11.2,UG/M3,9.9,47,1
1599325200000000,PM2.5,10.5,UG/M3,8.7,44,1
1599109200000000,OZONE,46,PPB,48,43,1
1599087600000000,PM2.5,8.9,UG/M3,7.8,37,1
1599058800000000,PM2.5,9.1,UG/M3,9,38,1
1599872400000000,PM2.5,2.6,UG/M3,2.5,11,1
1599829200000000,PM2.5,4,UG/M3,4,17,1
1599894000000000,PM2.5,3.7,UG/M3,4,15,1
1600326000000000,PM2.5,10.4,UG/M3,10.8,43,1
1600254000000000,PM2.5,11,UG/M3,10.2,46,1
1600282800000000,PM2.5,8.8,UG/M3,8.7,37,1
1600671600000000,PM2.5,18.6,UG/M3,19.7,65,2
1600599600000000,PM2.5,12.6,UG/M3,12.9,52,2
1600628400000000,PM2.5,10.4,UG/M3,10.6,43,1
1600484400000000,PM2.5,8.7,UG/M3,8.6,36,1
1600441200000000,PM2.5,12.3,UG/M3,12.1,51,2
1600470000000000,PM2.5,7.9,UG/M3,8,33,1
1600542000000000,PM2.5,10,UG/M3,9.4,42,1
1600513200000000,PM2.5,15.8,UG/M3,15.5,59,2
1600570800000000,PM2.5,11.9,UG/M3,11.8,50,1
1600729200000000,PM2.5,13.9,UG/M3,15.5,55,2
1600700400000000,PM2.5,8.5,UG/M3,8.2,35,1
1600750800000000,PM2.5,15.8,UG/M3,15.7,59,2
1600383600000000,PM2.5,18.7,UG/M3,16.9,65,2
1600354800000000,PM2.5,34.8,UG/M3,35.6,99,2
1600362000000000,PM2.5,32.9,UG/M3,31.2,95,2
1599800400000000,PM2.5,2.6,UG/M3,3.4,11,1
1599728400000000,OZONE,10,PPB,10,9,1
1599771600000000,OZONE,7,PPB,6,6,1
1598878800000000,PM2.5,9.4,UG/M3,9.5,39,1
1598922000000000,PM2.5,6.7,UG/M3,6.5,28,1
1598929200000000,OZONE,31,PPB,35,29,1
1598842800000000,PM2.5,9.8,UG/M3,8.7,41,1
1598821200000000,PM2.5,9.9,UG/M3,10,41,1
1598778000000000,PM2.5,8.7,UG/M3,8.6,36,1
1597770000000000,PM10,12,UG/M3,10,11,1
1597762800000000,PM10,16,UG/M3,14,15,1
1597791600000000,OZONE,20,PPB,25,19,1
1598576400000000,OZONE,33,PPB,37,31,1
1598533200000000,PM2.5,6.7,UG/M3,5.8,28,1
1598547600000000,OZONE,27,PPB,27,25,1
1597986000000000,OZONE,38,PPB,42,35,1
1597921200000000,PM2.5,7,UG/M3,7.3,29,1
1597950000000000,PM2.5,8.2,UG/M3,7.8,34,1
1598734800000000,PM2.5,10.6,UG/M3,10.7,44,1
1598691600000000,PM2.5,8,UG/M3,8.2,33,1
1598720400000000,PM2.5,9.7,UG/M3,9.6,40,1
1597597200000000,PM10,24,UG/M3,21,22,1
1597575600000000,PM10,24,UG/M3,24,22,1
1597604400000000,PM10,24,UG/M3,25,22,1
1597078800000000,OZONE,26,PPB,20,24,1
1597050000000000,OZONE,31,PPB,33,29,1
1597093200000000,OZONE,20,PPB,20,19,1
1598684400000000,OZONE,37,PPB,40,34,1
1598619600000000,PM2.5,8.7,UG/M3,9.5,36,1
1598662800000000,PM2.5,13.8,UG/M3,12.8,55,2
1597705200000000,OZONE,27,PPB,25,25,1
1597676400000000,OZONE,18,PPB,14,17,1
1597726800000000,OZONE,34,PPB,34,31,1
1598050800000000,PM2.5,11.1,UG/M3,11.9,46,1
1598022000000000,PM2.5,9.2,UG/M3,8.9,38,1
1598029200000000,PM2.5,8.2,UG/M3,7.1,34,1
1597863600000000,PM10,12,UG/M3,12,11,1
1597834800000000,PM10,26,UG/M3,23,24,1
1597906800000000,OZONE,41,PPB,45,38,1
1598504400000000,PM2.5,10.4,UG/M3,10.4,43,1
1598432400000000,PM2.5,14.7,UG/M3,15.8,56,2
1598475600000000,PM2.5,17.6,UG/M3,17.9,63,2
1599642000000000,OZONE,12,PPB,12,11,1
1599685200000000,OZONE,11,PPB,9,10,1
1599670800000000,OZONE,11,PPB,12,10,1
1599483600000000,PM2.5,8.7,UG/M3,9.1,36,1
1599526800000000,PM2.5,10.4,UG/M3,10.9,43,1
1599548400000000,PM2.5,9.8,UG/M3,9.4,41,1
1598972400000000,PM2.5,6.3,UG/M3,6.1,26,1
1599001200000000,PM2.5,6.6,UG/M3,7.1,28,1
1598979600000000,PM2.5,6.2,UG/M3,6,26,1
1599454800000000,OZONE,37,PPB,40,34,1
1599426000000000,PM2.5,8.6,UG/M3,8.4,36,1
1599382800000000,PM2.5,10.2,UG/M3,11.6,43,1
1599627600000000,OZONE,12,PPB,13,11,1
1599613200000000,OZONE,13,PPB,11,12,1
1599570000000000,PM2.5,8.4,UG/M3,6.9,35,1
1600196400000000,PM2.5,8.7,UG/M3,8.4,36,1
1600167600000000,PM2.5,8.1,UG/M3,8.8,34,1
1600239600000000,PM2.5,10,UG/M3,10,42,1
1599980400000000,PM2.5,7.8,UG/M3,8.2,33,1
1599915600000000,PM2.5,5.7,UG/M3,5.2,24,1
1599958800000000,PM2.5,6.7,UG/M3,7.3,28,1
1601017200000000,PM10,35,UG/M3,36,32,1
1600952400000000,PM2.5,14.5,UG/M3,13.9,56,2
1600995600000000,OZONE,30,PPB,35,28,1
1600887600000000,PM2.5,8.2,UG/M3,8.5,34,1
1600858800000000,PM2.5,12.4,UG/M3,12.3,52,2
1600930800000000,PM2.5,8.1,UG/M3,9,34,1
1600794000000000,PM2.5,14.4,UG/M3,13.5,56,2
1600786800000000,PM2.5,14.9,UG/M3,14.2,57,2
1600815600000000,PM2.5,13.3,UG/M3,11.4,54,2
1600030800000000,PM2.5,8.9,UG/M3,7.8,37,1
1599987600000000,PM2.5,8.3,UG/M3,9.1,35,1
1600016400000000,PM2.5,12.9,UG/M3,12.9,53,2
1600146000000000,OZONE,44,PPB,51,41,1
1600095600000000,PM2.5,10.2,UG/M3,10.3,43,1
1600124400000000,PM10,19,UG/M3,12,18,1
1598187600000000,PM2.5,18.3,UG/M3,17.2,64,2
1598230800000000,PM2.5,11.4,UG/M3,11.1,48,1
1598252400000000,PM2.5,10.8,UG/M3,10.6,45,1
1598338800000000,PM2.5,14.5,UG/M3,14.7,56,2
1598295600000000,PM2.5,14.6,UG/M3,14.8,56,2
1598266800000000,PM2.5,13.7,UG/M3,15.7,54,2
1597496400000000,PM10,31,UG/M3,33,29,1
1597539600000000,PM10,31,UG/M3,35,29,1
1597561200000000,OZONE,37,PPB,41,34,1
1597467600000000,OZONE,37,PPB,40,34,1
1597438800000000,PM10,30,UG/M3,36,28,1
1597395600000000,OZONE,28,PPB,26,26,1
1598367600000000,PM2.5,19.6,UG/M3,20.1,67,2
1598396400000000,PM2.5,19,UG/M3,16.5,66,2
1598418000000000,PM2.5,14,UG/M3,13.2,55,2
1598115600000000,PM2.5,13.8,UG/M3,13.8,55,2
1598130000000000,PM2.5,16.3,UG/M3,19.5,60,2
1598086800000000,PM2.5,13.3,UG/M3,16.7,54,2
1599181200000000,PM2.5,8.1,UG/M3,8.4,34,1
1599138000000000,PM2.5,9.1,UG/M3,8.5,38,1
1599195600000000,OZONE,36,PPB,41,33,1
1599238800000000,PM2.5,7.6,UG/M3,7.3,32,1
1599217200000000,PM10,34,UG/M3,30,31,1
1599246000000000,PM2.5,6.9,UG/M3,6.5,29,1
1599346800000000,PM2.5,10.6,UG/M3,10.6,44,1
1599318000000000,PM2.5,11,UG/M3,10.4,46,1
1599368400000000,PM2.5,10,UG/M3,10,42,1
1599066000000000,PM2.5,9.5,UG/M3,9.2,40,1
1599037200000000,PM2.5,6.6,UG/M3,7,28,1
1599080400000000,PM2.5,10.2,UG/M3,9.4,43,1
1599822000000000,PM2.5,4.3,UG/M3,4.2,18,1
1599850800000000,PM2.5,2.5,UG/M3,2.8,10,1
1599886800000000,PM2.5,3.2,UG/M3,3.6,13,1
1600275600000000,PM2.5,9,UG/M3,9,38,1
1600304400000000,PM2.5,9.4,UG/M3,10,39,1
1600261200000000,PM2.5,9.5,UG/M3,8.6,40,1
1600664400000000,PM2.5,17.2,UG/M3,18.2,62,2
1600650000000000,PM2.5,12.7,UG/M3,13.2,52,2
1600606800000000,PM2.5,12.5,UG/M3,12.2,52,2
1600448400000000,PM2.5,11.7,UG/M3,11,49,1
1600462800000000,PM2.5,8.1,UG/M3,7.3,34,1
1600419600000000,PM2.5,12,UG/M3,11.5,50,1
1600520400000000,PM2.5,13.9,UG/M3,13.2,55,2
1600563600000000,PM2.5,11.7,UG/M3,12.4,49,1
1600585200000000,PM2.5,12.4,UG/M3,12.5,52,2
1600678800000000,PM2.5,18.3,UG/M3,17.1,64,2
1600722000000000,PM2.5,10.2,UG/M3,11.1,43,1
1600707600000000,PM2.5,9.6,UG/M3,10.2,40,1
1600333200000000,PM2.5,10.8,UG/M3,11.8,45,1
1600376400000000,PM2.5,23.1,UG/M3,20.5,74,2
1600405200000000,PM2.5,12.7,UG/M3,13.8,52,2
1599757200000000,OZONE,5,PPB,6,5,1
1599778800000000,OZONE,7,PPB,7,6,1
1599750000000000,PM2.5,2.1,UG/M3,1.7,9,1
1598900400000000,PM2.5,8.9,UG/M3,8.5,37,1
1598871600000000,PM2.5,9.3,UG/M3,9.8,39,1
1598943600000000,OZONE,31,PPB,36,29,1
1598806800000000,PM2.5,10.7,UG/M3,9.9,45,1
1598799600000000,PM2.5,11.3,UG/M3,11.7,47,1
1598828400000000,PM2.5,10.6,UG/M3,11.5,44,1
